order_id,restaurant_name,cuisine_type,city,meal_type,order_date,order_time,order_value,delivery_time_mins,rating,online_payment,discount_applied,discount_amount
50,Chaayos,Beverages,Mumbai,Dinner,2023-08-31,08:13:45,792,62,4.2,Yes,No,0
51,Burger King,Fast Food,Kolkata,Dinner,2023-06-06,14:38:36,1577,38,4.3,Yes,No,0
52,Pizza Hut,Fast Food,Bangalore,Dinner,2023-06-08,00:53:41,1272,73,3.2,Yes,Yes,130
53,Moti Mahal,North Indian,Pune,Snack,2023-06-21,21:44:38,1055,63,3.6,No,No,0
54,Punjab Grill,North Indian,Mumbai,Dinner,2023-07-20,12:21:39,1509,60,4.0,Yes,Yes,99
55,KFC,Fast Food,Hyderabad,Lunch,2023-01-10,19:39:40,244,35,4.8,Yes,No,0
56,Chaayos,Beverages,Hyderabad,Snack,2023-07-12,07:55:45,968,35,3.9,Yes,Yes,128
57,KFC,Fast Food,Bangalore,Snack,2023-01-20,20:04:09,1291,35,4.7,Yes,No,0
58,Biryani Blues,Biryani,Jaipur,Dinner,2023-10-21,15:26:25,1056,59,4.2,No,No,0
59,Behrouz Biryani,Biryani,Bangalore,Snack,2023-06-25,02:57:15,680,68,3.5,Yes,No,0
60,Smoke House Deli,Continental,Hyderabad,Dinner,2023-06-21,03:54:35,308,65,3.6,Yes,No,0
61,Paradise Biryani,Biryani,Mumbai,Lunch,2023-02-28,21:50:37,623,44,4.3,Yes,Yes,126
62,Chaayos,Beverages,Pune,Snack,2023-06-11,19:17:48,277,33,4.6,No,No,0
63,Barbeque Nation,North Indian,Kolkata,Snack,2023-01-03,14:57:19,870,39,4.5,No,No,0
64,Mainland China,Chinese,Hyderabad,Snack,2023-03-27,13:09:28,708,47,4.1,No,No,0
65,Pizza Hut,Fast Food,Bangalore,Snack,2023-12-24,10:44:56,411,59,3.9,No,No,0
66,Moti Mahal,North Indian,Delhi,Breakfast,2023-09-07,22:51:39,1027,28,4.7,Yes,Yes,86
67,Pizza Hut,Fast Food,Pune,Lunch,2023-06-26,22:06:17,819,41,4.4,No,No,0
68,Chaayos,Beverages,Chennai,Breakfast,2023-07-02,23:34:38,189,67,3.8,Yes,Yes,37
69,Domino's Pizza,Fast Food,Delhi,Lunch,2023-03-19,18:10:34,191,59,3.6,Yes,No,0
70,Haldiram's,Snacks,Hyderabad,Snack,2023-09-29,23:29:09,674,69,3.6,Yes,Yes,99
71,Haldiram's,Snacks,Delhi,Dinner,2023-08-12,22:48:52,1537,44,4.0,Yes,Yes,82
72,Haldiram's,Snacks,Chennai,Breakfast,2023-11-06,13:22:31,1309,70,3.3,No,No,0
73,Saravana Bhavan,South Indian,Mumbai,Dinner,2023-01-06,05:55:35,1010,72,3.7,No,No,0
74,Behrouz Biryani,Biryani,Bangalore,Snack,2023-03-10,17:42:55,1652,53,4.5,Yes,No,0
75,Mainland China,Chinese,Jaipur,Snack,2023-06-19,11:50:54,1647,57,3.7,Yes,Yes,91
76,Behrouz Biryani,Biryani,Hyderabad,Snack,2023-08-10,15:23:01,1399,62,3.7,Yes,No,0
77,Paradise Biryani,Biryani,Bangalore,Snack,2023-03-24,17:06:01,876,71,3.5,Yes,No,0
78,Wow Momo,Chinese,Delhi,Lunch,2023-02-03,13:58:14,644,66,3.7,Yes,No,0
79,Smoke House Deli,Continental,Jaipur,Snack,2023-11-05,06:40:12,185,25,4.2,No,No,0
80,KFC,Fast Food,Chennai,Dinner,2023-07-04,03:06:26,1283,53,3.8,Yes,No,0
81,Behrouz Biryani,Biryani,Chennai,Dinner,2023-04-08,23:15:07,622,27,4.6,Yes,Yes,67
82,Subway,Fast Food,Hyderabad,Snack,2023-04-18,17:09:47,1633,57,4.4,Yes,Yes,69
83,Burger King,Fast Food,Hyderabad,Dinner,2023-03-12,00:30:59,769,20,4.7,Yes,No,0
84,Domino's Pizza,Fast Food,Delhi,Dinner,2023-09-29,04:24:04,408,60,4.3,No,Yes,23
85,Moti Mahal,North Indian,Chennai,Snack,2023-07-06,05:56:23,1052,41,3.9,Yes,No,0
86,Smoke House Deli,Continental,Mumbai,Breakfast,2023-06-05,22:51:50,1157,24,4.5,Yes,Yes,58
87,Moti Mahal,North Indian,Chennai,Breakfast,2023-04-07,17:18:26,392,55,4.2,Yes,No,0
88,Pizza Hut,Fast Food,Jaipur,Snack,2023-04-26,19:31:55,1355,47,3.9,Yes,No,0
89,Haldiram's,Snacks,Hyderabad,Lunch,2023-04-14,02:40:50,1502,25,4.1,Yes,No,0
90,McDonald's,Fast Food,Bangalore,Breakfast,2023-06-08,23:39:35,1072,64,3.9,Yes,Yes,79
91,Burger King,Fast Food,Chennai,Snack,2023-01-28,23:26:36,1557,34,4.7,Yes,No,0
92,Haldiram's,Snacks,Hyderabad,Lunch,2023-12-20,03:00:30,694,72,3.4,Yes,Yes,98
93,Sagar Ratna,South Indian,Chennai,Snack,2023-02-18,15:03:36,1109,64,3.6,No,No,0
94,Social,Continental,Jaipur,Snack,2023-02-01,13:46:20,1374,22,4.9,Yes,No,0
95,Wow Momo,Chinese,Delhi,Breakfast,2023-03-31,05:43:48,1530,73,4.1,Yes,No,0
96,Wow Momo,Chinese,Delhi,Lunch,2023-07-03,01:23:07,1212,61,3.8,Yes,Yes,131
97,Smoke House Deli,Continental,Mumbai,Snack,2023-05-16,11:13:55,986,41,4.0,Yes,Yes,104
98,Chaayos,Beverages,Jaipur,Dinner,2023-09-15,15:43:34,970,72,4.0,Yes,No,0
99,McDonald's,Fast Food,Pune,Dinner,2023-05-06,21:07:48,387,69,3.7,Yes,No,0
100,Mainland China,Chinese,Jaipur,Snack,2023-01-22,09:13:07,534,53,3.9,No,No,0
101,Behrouz Biryani,Biryani,Delhi,Lunch,2023-04-15,01:08:40,1274,28,4.8,No,No,0
102,Smoke House Deli,Continental,Mumbai,Breakfast,2023-09-03,00:13:59,1396,71,3.5,Yes,No,0
103,Mainland China,Chinese,Delhi,Snack,2023-02-06,12:46:21,610,73,4.1,No,Yes,59
104,Smoke House Deli,Continental,Chennai,Dinner,2023-06-11,16:39:02,1138,50,3.8,Yes,No,0
105,Subway,Fast Food,Bangalore,Breakfast,2023-04-18,14:48:44,1732,70,4.1,Yes,No,0
106,Wow Momo,Chinese,Delhi,Dinner,2023-10-10,07:17:08,761,73,3.8,No,Yes,134
107,Mainland China,Chinese,Jaipur,Dinner,2023-05-10,10:33:53,1280,68,3.8,No,No,0
108,Subway,Fast Food,Hyderabad,Snack,2023-04-02,00:57:35,1738,46,3.7,No,No,0
109,Pizza Hut,Fast Food,Kolkata,Lunch,2023-07-12,16:47:51,225,28,4.4,Yes,Yes,132
110,Haldiram's,Snacks,Jaipur,Breakfast,2023-10-08,21:39:52,445,46,4.5,Yes,Yes,140
111,Wow Momo,Chinese,Pune,Snack,2023-09-10,16:54:59,314,74,3.5,No,No,0
112,Smoke House Deli,Continental,Delhi,Breakfast,2023-04-02,12:13:02,1442,63,4.3,Yes,No,0
113,McDonald's,Fast Food,Kolkata,Breakfast,2023-10-23,15:09:33,1447,65,4.2,No,Yes,96
114,Barbeque Nation,North Indian,Delhi,Dinner,2023-11-06,12:35:41,264,38,4.1,No,Yes,82
115,Social,Continental,Kolkata,Lunch,2023-03-08,08:21:44,508,25,4.5,No,No,0
116,KFC,Fast Food,Jaipur,Lunch,2023-04-01,12:09:11,1094,60,3.7,Yes,No,0
117,Barbeque Nation,North Indian,Jaipur,Dinner,2023-09-21,11:47:28,1269,30,3.9,Yes,No,0
118,Burger King,Fast Food,Kolkata,Dinner,2023-06-27,18:01:06,768,32,4.8,No,Yes,80
119,Pizza Hut,Fast Food,Pune,Dinner,2023-09-29,21:45:12,754,21,5.0,No,No,0
120,Barbeque Nation,North Indian,Delhi,Snack,2023-11-20,18:37:16,736,69,4.1,Yes,Yes,68
121,Sagar Ratna,South Indian,Chennai,Lunch,2023-09-02,07:41:48,348,60,4.0,Yes,No,0
122,Domino's Pizza,Fast Food,Pune,Lunch,2023-02-05,08:06:14,754,40,4.4,Yes,Yes,53
123,Mainland China,Chinese,Pune,Dinner,2023-11-19,20:33:57,486,36,4.7,No,No,0
124,Paradise Biryani,Biryani,Mumbai,Snack,2023-01-30,13:50:27,438,68,4.2,No,No,0
125,Saravana Bhavan,South Indian,Mumbai,Snack,2023-01-06,17:43:52,691,54,3.6,Yes,No,0
126,Wow Momo,Chinese,Kolkata,Dinner,2023-02-12,09:51:31,1532,34,4.3,Yes,No,0
127,KFC,Fast Food,Mumbai,Snack,2023-12-20,12:06:25,1585,39,4.4,Yes,Yes,31
128,Domino's Pizza,Fast Food,Chennai,Snack,2023-02-15,10:19:16,349,35,4.7,Yes,No,0
129,Behrouz Biryani,Biryani,Pune,Snack,2023-08-17,10:24:31,1670,66,3.5,No,No,0
130,Haldiram's,Snacks,Jaipur,Snack,2023-04-19,23:22:01,217,64,3.7,No,No,0
131,KFC,Fast Food,Pune,Breakfast,2023-09-24,15:00:11,902,54,4.4,Yes,Yes,121
132,Wow Momo,Chinese,Hyderabad,Breakfast,2023-11-26,16:14:31,1081,25,4.6,Yes,Yes,105
133,KFC,Fast Food,Bangalore,Lunch,2023-01-27,23:29:34,1717,55,3.7,Yes,Yes,104
134,Biryani Blues,Biryani,Delhi,Dinner,2023-11-30,16:55:29,446,28,4.4,Yes,Yes,26
135,Biryani Blues,Biryani,Delhi,Dinner,2023-11-04,03:11:26,1764,35,4.4,Yes,Yes,87
136,Domino's Pizza,Fast Food,Bangalore,Snack,2023-07-24,15:28:21,382,67,3.4,No,No,0
137,Social,Continental,Mumbai,Snack,2023-07-16,00:07:01,603,59,3.5,Yes,No,0
138,Barbeque Nation,North Indian,Delhi,Snack,2023-11-26,09:23:41,972,47,4.3,No,No,0
139,Behrouz Biryani,Biryani,Mumbai,Breakfast,2023-05-06,10:17:59,1395,29,3.9,Yes,No,0
140,Moti Mahal,North Indian,Pune,Snack,2023-08-21,08:05:44,1236,38,4.2,No,Yes,49
141,Mainland China,Chinese,Hyderabad,Snack,2023-06-25,16:47:48,617,46,3.9,No,No,0
142,Chaayos,Beverages,Mumbai,Dinner,2023-06-16,01:43:43,790,62,3.6,Yes,No,0
143,Smoke House Deli,Continental,Mumbai,Breakfast,2023-11-20,08:40:33,324,25,4.4,Yes,Yes,35
144,Moti Mahal,North Indian,Pune,Breakfast,2023-06-09,21:00:50,874,75,3.8,No,No,0
145,Domino's Pizza,Fast Food,Chennai,Dinner,2023-05-17,21:34:48,362,56,4.0,Yes,No,0
146,Smoke House Deli,Continental,Hyderabad,Breakfast,2023-05-17,07:17:56,1289,43,3.8,Yes,No,0
147,KFC,Fast Food,Kolkata,Breakfast,2023-08-25,20:14:38,1497,73,3.9,Yes,Yes,89
148,Burger King,Fast Food,Pune,Dinner,2023-01-03,16:54:36,521,75,3.3,No,Yes,56
149,Barbeque Nation,North Indian,Mumbai,Lunch,2023-05-27,10:23:09,1009,49,3.9,Yes,No,0
150,Paradise Biryani,Biryani,Mumbai,Breakfast,2023-03-02,18:06:35,472,68,3.9,Yes,No,0
151,Behrouz Biryani,Biryani,Kolkata,Snack,2023-08-25,02:21:30,1055,46,3.9,Yes,No,0
152,Chaayos,Beverages,Mumbai,Dinner,2023-09-21,17:26:56,1539,57,3.9,Yes,Yes,76
153,Pizza Hut,Fast Food,Delhi,Breakfast,2023-03-21,17:21:41,767,33,4.6,Yes,No,0
154,Paradise Biryani,Biryani,Mumbai,Breakfast,2023-07-13,11:58:02,1679,47,3.8,No,No,0
155,KFC,Fast Food,Pune,Breakfast,2023-06-04,12:58:17,1669,22,4.4,No,Yes,100
156,Moti Mahal,North Indian,Kolkata,Snack,2023-10-03,21:00:34,1461,46,3.9,No,Yes,103
157,Punjab Grill,North Indian,Jaipur,Dinner,2023-02-04,13:25:48,1044,74,3.3,No,No,0
158,Pizza Hut,Fast Food,Mumbai,Snack,2023-12-05,09:52:32,785,67,3.6,Yes,Yes,39
159,Social,Continental,Mumbai,Lunch,2023-12-19,03:48:42,1739,42,4.0,Yes,Yes,46
160,Biryani Blues,Biryani,Chennai,Lunch,2023-03-09,17:07:41,1383,29,4.6,Yes,Yes,146
161,Behrouz Biryani,Biryani,Jaipur,Dinner,2023-12-02,23:21:52,1434,40,3.9,Yes,No,0
162,Behrouz Biryani,Biryani,Chennai,Dinner,2023-08-19,00:25:54,265,42,4.2,Yes,No,0
163,Behrouz Biryani,Biryani,Delhi,Breakfast,2023-05-24,12:53:00,737,24,4.6,Yes,No,0
164,Sagar Ratna,South Indian,Kolkata,Snack,2023-08-14,17:03:43,1285,70,4.0,Yes,No,0
165,Moti Mahal,North Indian,Hyderabad,Dinner,2023-08-24,07:03:47,1124,52,3.7,Yes,No,0
166,Haldiram's,Snacks,Pune,Breakfast,2023-07-16,06:44:15,1473,31,3.9,No,No,0
167,Social,Continental,Bangalore,Dinner,2023-05-26,03:13:56,729,44,4.0,Yes,No,0
168,Sagar Ratna,South Indian,Delhi,Dinner,2023-01-26,22:20:34,825,26,4.5,No,No,0
169,Wow Momo,Chinese,Bangalore,Dinner,2023-02-01,23:39:12,1343,62,3.5,Yes,No,0
170,Pizza Hut,Fast Food,Bangalore,Breakfast,2023-05-01,13:30:44,1294,44,4.3,Yes,Yes,43
171,Chaayos,Beverages,Pune,Breakfast,2023-05-22,03:39:18,782,31,4.8,Yes,No,0
172,Subway,Fast Food,Hyderabad,Lunch,2023-03-02,12:11:37,308,38,4.6,Yes,No,0
173,Mainland China,Chinese,Delhi,Dinner,2023-12-07,16:34:21,1719,59,3.5,No,Yes,61
174,Punjab Grill,North Indian,Bangalore,Snack,2023-01-18,07:14:34,991,43,4.3,Yes,No,0
175,Sagar Ratna,South Indian,Chennai,Snack,2023-04-02,05:03:55,1243,35,4.1,No,Yes,114
176,Moti Mahal,North Indian,Jaipur,Snack,2023-10-27,03:41:13,727,69,3.6,No,Yes,71
177,Sagar Ratna,South Indian,Bangalore,Dinner,2023-01-21,14:21:03,1463,50,4.4,Yes,No,0
178,Social,Continental,Mumbai,Dinner,2023-02-02,21:46:22,1712,30,4.1,Yes,No,0
179,McDonald's,Fast Food,Hyderabad,Snack,2023-12-10,21:20:49,865,21,4.4,No,No,0
180,Saravana Bhavan,South Indian,Hyderabad,Snack,2023-02-02,00:37:04,917,34,3.8,Yes,No,0
181,Paradise Biryani,Biryani,Bangalore,Lunch,2023-01-16,05:00:41,737,73,3.7,Yes,No,0
182,Smoke House Deli,Continental,Jaipur,Breakfast,2023-12-19,03:12:13,312,21,4.2,Yes,No,0
183,Sagar Ratna,South Indian,Kolkata,Breakfast,2023-10-29,18:27:11,740,35,4.1,Yes,Yes,127
184,Sagar Ratna,South Indian,Jaipur,Breakfast,2023-02-13,09:16:13,1173,58,4.0,Yes,No,0
185,Biryani Blues,Biryani,Chennai,Snack,2023-01-01,22:34:50,1409,42,3.9,No,Yes,41
186,Social,Continental,Pune,Breakfast,2023-07-24,15:13:45,1264,52,4.3,Yes,No,0
187,Smoke House Deli,Continental,Delhi,Snack,2023-05-26,07:25:49,669,67,3.3,Yes,No,0
188,KFC,Fast Food,Mumbai,Dinner,2023-02-22,03:28:03,240,42,4.2,Yes,No,0
189,Behrouz Biryani,Biryani,Jaipur,Lunch,2023-11-12,11:42:23,426,24,4.7,No,Yes,95
190,Subway,Fast Food,Delhi,Lunch,2023-12-11,08:09:53,235,40,4.6,No,No,0
191,Smoke House Deli,Continental,Chennai,Breakfast,2023-10-20,21:10:48,1474,32,4.1,Yes,No,0
192,Paradise Biryani,Biryani,Chennai,Breakfast,2023-11-07,18:24:40,903,47,4.5,No,No,0
193,Paradise Biryani,Biryani,Bangalore,Snack,2023-09-27,02:32:45,1168,43,4.6,Yes,Yes,128
194,McDonald's,Fast Food,Kolkata,Lunch,2023-08-01,04:11:23,751,40,3.8,Yes,No,0
195,Burger King,Fast Food,Chennai,Snack,2023-08-23,08:50:26,1619,47,3.8,No,No,0
196,Behrouz Biryani,Biryani,Delhi,Dinner,2023-08-28,02:49:52,1040,37,4.4,Yes,Yes,123
197,Saravana Bhavan,South Indian,Bangalore,Breakfast,2023-02-25,18:48:03,1394,63,4.1,Yes,Yes,37
198,KFC,Fast Food,Pune,Dinner,2023-05-30,00:27:41,1311,22,4.6,No,No,0
199,Saravana Bhavan,South Indian,Jaipur,Breakfast,2023-08-12,05:20:19,431,53,3.9,Yes,No,0
200,Wow Momo,Chinese,Hyderabad,Breakfast,2023-01-11,09:31:47,1656,31,4.3,No,No,0
201,Haldiram's,Snacks,Chennai,Dinner,2023-10-01,18:06:28,1063,33,4.8,Yes,No,0
202,Smoke House Deli,Continental,Hyderabad,Breakfast,2023-02-23,01:04:49,301,48,3.8,No,Yes,101
203,Saravana Bhavan,South Indian,Mumbai,Dinner,2023-12-13,11:48:48,764,74,3.3,Yes,No,0
204,Social,Continental,Hyderabad,Breakfast,2023-03-20,09:16:22,1772,28,4.1,No,Yes,112
205,Mainland China,Chinese,Pune,Snack,2023-11-09,10:40:12,1279,28,4.5,Yes,Yes,99
206,Pizza Hut,Fast Food,Jaipur,Snack,2023-10-27,01:07:59,988,72,3.8,Yes,No,0
207,McDonald's,Fast Food,Jaipur,Snack,2023-09-22,11:04:30,1209,42,3.8,Yes,Yes,130
208,Social,Continental,Delhi,Breakfast,2023-07-21,13:03:42,463,39,3.9,Yes,No,0
209,KFC,Fast Food,Pune,Dinner,2023-11-25,20:40:25,311,36,4.0,Yes,Yes,97
210,Sagar Ratna,South Indian,Mumbai,Lunch,2023-08-19,04:03:16,1339,29,4.0,Yes,No,0
211,Domino's Pizza,Fast Food,Delhi,Breakfast,2023-01-18,23:44:04,1463,69,3.8,Yes,No,0
212,Chaayos,Beverages,Delhi,Snack,2023-12-12,14:03:05,1434,54,3.8,Yes,No,0
213,KFC,Fast Food,Kolkata,Dinner,2023-06-26,11:20:15,299,64,3.4,No,No,0
214,Smoke House Deli,Continental,Jaipur,Lunch,2023-05-13,10:49:28,1392,29,4.2,Yes,No,0
215,Saravana Bhavan,South Indian,Kolkata,Lunch,2023-10-23,17:54:41,908,52,4.1,Yes,Yes,139
216,Haldiram's,Snacks,Chennai,Snack,2023-04-07,14:46:17,438,26,4.0,No,No,0
217,Chaayos,Beverages,Hyderabad,Lunch,2023-11-13,06:09:47,820,56,4.2,Yes,Yes,147
218,Social,Continental,Jaipur,Snack,2023-12-08,17:34:44,781,51,3.6,No,No,0
219,Behrouz Biryani,Biryani,Hyderabad,Lunch,2023-08-15,21:09:40,872,23,4.0,No,No,0
220,Smoke House Deli,Continental,Chennai,Breakfast,2023-11-26,08:13:07,370,47,3.7,Yes,No,0
221,Saravana Bhavan,South Indian,Kolkata,Dinner,2023-01-18,21:41:22,970,23,4.5,Yes,No,0
222,Mainland China,Chinese,Chennai,Breakfast,2023-05-31,09:01:55,1182,48,4.3,Yes,No,0
223,Sagar Ratna,South Indian,Mumbai,Lunch,2023-02-07,21:08:12,956,43,4.4,Yes,No,0
224,Saravana Bhavan,South Indian,Bangalore,Lunch,2023-08-23,07:21:42,1192,45,4.1,Yes,Yes,55
225,Paradise Biryani,Biryani,Jaipur,Snack,2023-02-28,04:13:39,1391,52,3.7,Yes,Yes,120
226,Sagar Ratna,South Indian,Chennai,Dinner,2023-07-17,08:31:06,1193,54,4.0,Yes,No,0
227,Barbeque Nation,North Indian,Pune,Dinner,2023-09-20,00:19:50,374,46,4.2,Yes,No,0
228,Smoke House Deli,Continental,Chennai,Lunch,2023-10-08,11:56:11,255,57,3.9,No,Yes,82
229,Domino's Pizza,Fast Food,Mumbai,Lunch,2023-01-08,16:30:32,1053,40,4.1,No,No,0
230,Subway,Fast Food,Kolkata,Snack,2023-12-06,07:15:02,1656,66,3.4,Yes,No,0
231,Subway,Fast Food,Pune,Snack,2023-07-24,09:48:07,921,40,4.7,No,No,0
232,Paradise Biryani,Biryani,Pune,Dinner,2023-08-26,06:19:33,1141,32,4.8,Yes,No,0
233,Burger King,Fast Food,Hyderabad,Dinner,2023-10-27,19:51:54,741,65,3.5,No,No,0
234,Smoke House Deli,Continental,Pune,Dinner,2023-04-23,02:23:29,399,56,4.1,No,No,0
235,Saravana Bhavan,South Indian,Bangalore,Dinner,2023-01-17,16:05:17,739,65,3.4,No,No,0
236,Wow Momo,Chinese,Jaipur,Lunch,2023-03-20,19:24:37,1253,37,4.7,Yes,Yes,47
237,Sagar Ratna,South Indian,Hyderabad,Lunch,2023-01-21,01:10:05,1521,53,3.7,Yes,Yes,45
238,Chaayos,Beverages,Pune,Snack,2023-02-09,09:08:47,1545,69,3.4,Yes,No,0
239,Smoke House Deli,Continental,Jaipur,Lunch,2023-10-21,21:36:06,738,40,4.0,Yes,Yes,79
240,Mainland China,Chinese,Delhi,Lunch,2023-06-12,14:58:13,510,22,5.0,No,No,0
241,Punjab Grill,North Indian,Chennai,Breakfast,2023-01-04,22:22:34,761,56,4.1,Yes,No,0
242,Behrouz Biryani,Biryani,Jaipur,Lunch,2023-11-27,20:27:06,1182,49,3.8,Yes,No,0
243,Punjab Grill,North Indian,Jaipur,Dinner,2023-10-07,09:49:13,531,20,4.7,Yes,No,0
244,Subway,Fast Food,Bangalore,Snack,2023-11-18,12:06:13,1025,52,3.8,No,No,0
245,Haldiram's,Snacks,Bangalore,Lunch,2023-07-05,18:11:41,812,35,3.8,No,Yes,134
246,Wow Momo,Chinese,Pune,Dinner,2023-08-15,12:55:39,1630,56,3.5,Yes,No,0
247,KFC,Fast Food,Delhi,Breakfast,2023-07-01,01:47:44,778,30,4.3,Yes,No,0
248,Haldiram's,Snacks,Chennai,Dinner,2023-08-28,00:43:27,602,34,4.7,No,Yes,136
249,Sagar Ratna,South Indian,Pune,Snack,2023-09-30,22:33:42,1274,50,4.3,Yes,Yes,40
250,Social,Continental,Jaipur,Dinner,2023-01-31,15:58:12,1305,27,4.0,Yes,No,0
251,Mainland China,Chinese,Bangalore,Lunch,2023-05-08,18:16:40,1215,48,3.7,Yes,No,0
252,Moti Mahal,North Indian,Jaipur,Breakfast,2023-12-16,10:15:21,1195,48,4.4,No,Yes,126
253,Behrouz Biryani,Biryani,Delhi,Snack,2023-09-19,14:38:58,781,66,3.3,Yes,Yes,75
